Name,Description,Type,Photograph,With Stylized Photography,On Website,PD PO Link,Date Created,Design Approval Status,Design Approval Date,Date Sent to Photography,Anticipated Launch Date,PD Pricing Complete,Photo Notes,Notes for Copy,Preferred Vendor,Earliest PO/WO Date,Product Roadmap Planned Launch,eCommerce Notes,Launch Notes,Date Photo Completed,Inventory Available,How Produced,Center Stones Available
BE1D6197LC,Feather LAB ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #877613,3/15/2022 7:40,Finished Item Approved,7/26/2022,7/19/2022,8/19/2022,No,,,SDC Designs,,,,,,,"LAB MELEE PROVIDED BY THE VENDOR  -Center gem to be set in 4 Claw prong basket with soft ""V"" shaped gallery wire -Shank to feature 2 prong set gems cascading down the shank (please see sketch 1 for placement) -Plain shank to be low dome comfort fit","Asscher,Cushion,Emerald,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D8164G,green gemstones Arden,Inventory Item,With Retoucher,No,Not on website,Purchase Order #808495,11/30/2021 10:41,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,Frederick Goldman Inc,,,,,,,"Ordered and assembled by Frederick Goldman.  Set with: 2 qty 3x1.5mm MQ lab created emeralds 2 qty 3x1.5mm MQ diamonds 2 qty 1.1mm RD green tsavorite garnet - provided by BE in bulk 2 qty 1.1mm RD diamonds  Same as BE1D8164 with the addition of 2 emerald marquises and 2 green tsavorite garnets  https://www.brilliantearth.com/Arden-Diamond-Ring-Gold-BE1D8164-6542595/  - curved asymmetric domed band, width tapers into the trellis prong  - bead prong center gem with rounded gallery wire  - shank and sizing bar maxes at 1.5mm wide  - Accent stones to be set bead prong","Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D8164GLC,green gemstones Arden,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #808495,11/30/2021 10:41,Finished Item Approved,6/28/2022,,,No,,,Frederick Goldman Inc,,,,,,,"Ordered and assembled by Frederick Goldman.  Set with: 2 qty 3x1.5mm MQ lab created emeralds 2 qty 3x1.5mm MQ lab diamonds 2 qty 1.1mm RD green tsavorite garnet - provided by BE in bulk 2 qty 1.1mm RD lab diamonds  Same as BE1D8164 with the addition of 2 emerald marquises and 2 green tsavorite garnets  https://www.brilliantearth.com/Arden-Diamond-Ring-Gold-BE1D8164-6542595/  - curved asymmetric domed band, width tapers into the trellis prong  - bead prong center gem with rounded gallery wire  - shank and sizing bar maxes at 1.5mm wide  - Accent stones to be set bead prong","Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D8790LC,Angled Baguette LAB ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #815850,12/8/2021 13:11,Finished Item Approved,4/5/2022,,,No,,,Frederick Goldman Inc,,,,,,,"SET WITH LAB MELEE  ER to match WB on PO 815161  -center gem to be set in a ""V"" shaped setting with 4 bead prongs  -Shank to feature angled baguettes prong-set extending   1/2 coverage transitioning to a 1.8 mm shank low dome comfort fit  -MQ, PC, PR, to be set with 6 prongs Heart with 5 prongs ""V"" shaped setting","Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE23003,rounded tapered tube ring WB,Inventory Item,With Retoucher,No,Not on website,Purchase Order #905147,4/22/2022 15:48,Finished Item Approved,7/11/2022,7/19/2022,8/12/2022,Yes,,,SDC Designs,,,,,,,width range target 1.8-2.5 depth range target  1.8-3.3  - tube style ring with tapering depth and consistent width - rounded throughout with no inner flat edge - maintain 2.5mm consistent width - depth 2mm at base of shank tapering up to 3.5mm at the top of the ring,
BE2596,Thin Horizontal Lines MWB,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #896659,4/11/2022 16:38,Finished Item Approved,7/29/2022,,,No,,,SDC Designs,,,,,,,milled men's band   -This is a milled design based on BE215 -5mm low dome slim 1.5 depth -17 Very fine horizontal engraved lines -Comfort fit,
BE2AQ772,FR- coastal ombre aimee,Inventory Item,With Retoucher,No,Not on website,Purchase Order #800022,11/19/2021 12:22,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,No,,,Guild and Facet,,,,,,,"VENDOR IS PROVIDING THE STONES  same style as BE2D772 with lighter to darker/more saturated coastal gradient of diamonds/gemstones  -5 single shared prong gems set with 1.1 mm target prongs on a 1 mm wide shank. and 1.4 mm sizing bar -Low dome comfort fit profile -1/2 coverage  - ring depth 2mm   -from stone gradient from left to right - diamond, aquamarine,  london blue topaz, teal montana sapphire,lab alexandrite  https://www.brilliantearth.com/Aimee-Diamond-Ring-Gold-BE2D772/",
BE2BS64,FR- half blue sapphire half diamond ballad,Inventory Item,With Retoucher,No,Not on website,Purchase Order #880107,3/18/2022 11:57,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,Guild and Facet,,,,,,,"SAPPHIRE STONES PROVIDED BY BE IN BULK  Same as BE2DBD64 with half blue sapphire, half diamond -scalloped pave setting  -full eternity   -comfort fit interior shank  https://www.brilliantearth.com/Ballad-Black-Diamond-and-Diamond-Eternity-Ring-(1/4-ct.-tw.)-Rose-Gold-BE2DBD64/",
BE2C64,FR- citrine ballad,Inventory Item,With Retoucher,No,Not on website,Purchase Order #881349,3/21/2022 10:34,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,Frederick Goldman Inc,,,,,,,Same as BE264 with citrine -scalloped pave setting set to 3/4 setting  -comfort fit interior shank  https://www.brilliantearth.com/Luxe-Ballad-Diamond-Ring-(1/4-ct.-tw.)-Rose-Gold-BE264/,
BE2D5413,FR- Willow Asymmetrical band,Inventory Item,With Retoucher,No,Not on website,Purchase Order #879590,3/17/2022 13:56,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,No,,,SDC Designs,,,,,,,-natural melee provided by the vendor  -4 MQ diamonds in single shared prong baskets stagger down either side of shank like leaves -Followed by 2 RDs with angled single shared prong settings to match,
BE2D6128,Laurel Accented Contour WB,Inventory Item,With Retoucher,No,Not on website,Purchase Order #866885,2/28/2022 12:19,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,Yes,,,SDC Designs,,,,,,,stones provided by sdc  - 3 diamonds scallop pave/pave set at point of contour. Match contour of chevron BE2119  -hand-engraved fern detail flowing into the shank to match BE1D80F3  -Shank to be 1.5mm low dome comfort fit,
BE2D636,WB - Hex Pod Accented,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #811953,12/3/2021 15:11,QA Fail/Sendback,5/12/2022,5/13/2022,On Hold,No,,Please take a photo of true top-down to capture the hex shape of the stone baskets as an alt photo. Mention hex shape in description,SDC Designs,,,"ED 6/7: incorrect sample sent, needs to go back out to photo (we want bigger diamonds!)",ED: 6.6 on hold per incorrect CAD sent,5/23/2022,,Ordered and fully assembled by SDC. Set with: (15qty) 1.8mm RD diamonds,
BE2D667,Wavy nature accented WB,Inventory Item,With Retoucher,No,Not on website,Purchase Order #817250,12/10/2021 8:37,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,SDC Designs,,,,,,,-standard contour to match flair BE2D1812 -1 mm wide strand with sculpted leaves with hand-engraved center vein -prong-set accents  -plain shank to be 1.5 mm wide low dome comfort fit,
BE2DCONF102,IT - FR - diamond confetti band,Inventory Item,With Retoucher,No,Not on website,Purchase Order #913615,5/4/2022 16:03,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,No,,,SDC Designs,,,,,,,Diamond iteration of BE2CONF102  -3mm low dome comfort fit band with multiple stones flush set sporadically  - Interior comfort fit,
BE2DPLS64,FR- half lab dark pink sapphire half diamond ballad,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #880115,3/18/2022 11:59,Finished Item Approved,7/15/2022,,,No,,,Guild and Facet,,,,,,,"Same as BE2DBD64 with half lab dark pink sapphire, half diamond -scalloped pave setting  -full eternity   -comfort fit interior shank  https://www.brilliantearth.com/Ballad-Black-Diamond-and-Diamond-Eternity-Ring-(1/4-ct.-tw.)-Rose-Gold-BE2DBD64/",
BE2DT5707,Dark Tantalum 6.5mm Wedding Ring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #849114,2/1/2022 12:00,Finished Custom Pending Approval,,7/19/2022,8/19/2022,Yes,,,Benchmark,,,,,,,Catalog ring style from Benchmark  QUARTER SIZES NOT AVAILABLE,
BE2HT4957,Hammered Tantalum 6.5mm Wedding Ring ,Inventory Item,With Retoucher,No,Not on website,Purchase Order #848555,1/31/2022 14:56,Finished Custom Pending Approval,,7/19/2022,8/19/2022,Yes,,,Benchmark,,,,,,,Catalog ring style from Benchmark QUARTER SIZES NOT AVAILABLE,
BE2LA264,FR- lab alexandrite luxe ballad ,Inventory Item,With Retoucher,No,Not on website,Purchase Order #878128,3/15/2022 13:45,Finished Custom Pending Approval,,,Not yet approved,Yes,,,Frederick Goldman Inc,,,,ED: delay due to approval status,,,"Ordered and fully assembled with SDC Designs.  Set with:  (34 qty) 1.2mm RD LAB alexandrites  _________________________________  Same as BE264 with LAB alexandrite -scalloped pave setting set to 3/4 setting  -comfort fit interior shank  -1.8mm depth, 1.4mm width",
BE2LBT264,FR- LBT luxe ballad ,Inventory Item,With Retoucher,No,,Purchase Order #878116,3/15/2022 13:41,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,Frederick Goldman Inc,,,,ED: delay due to approval status. ED 7/22: imagery delayed again due to merch GG pre-QA QA. Pushing to NW.,,,"Ordered and fully assembled with SDC Designs.  Set with:  (34 qty) 1.2mm RD london blue topaz  _________________________________  Same as BE264 with london blue topaz -scalloped pave setting set to 3/4 setting  -comfort fit interior shank  -1.8mm depth, 1.4mm width",
BE2LT4474,Tantalum and Gold 6.5mm Wedding Ring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #848550,1/31/2022 14:54,Finished Custom Pending Approval,,7/19/2022,8/19/2022,Yes,,,Benchmark,,,,,,,Catalog ring style from Benchmark QUARTER SIZES NOT AVAILABLE,
BE2P64,FR- peridot ballad,Inventory Item,With Retoucher,No,Not on website,Purchase Order #881338,3/21/2022 10:31,Finished Item Approved,6/24/2022,7/1/2022,7/29/2022,Yes,,,Frederick Goldman Inc,,,,,,,"stones provided to FG for PD samples and for bulk   Same as BE264 with peridot -scalloped pave setting set to 3/4 setting  -comfort fit interior shank  -1.8mm depth, 1.4mm width  https://www.brilliantearth.com/Luxe-Ballad-Diamond-Ring-(1/4-ct.-tw.)-Rose-Gold-BE264/",
BE2TT6032,Textured Tantalum 6.5mm Wedding Ring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #848532,1/31/2022 14:46,Finished Custom Pending Approval,,7/19/2022,8/19/2022,Yes,,,Benchmark,,,,,,,Catalog ring style from Benchmark  QUARTER SIZES NOT AVAILABLE,
BE2WBEND,Wire Brush Endeavor Wedding Ring ,Inventory Item,With Retoucher,No,Not on website,Purchase Order #846285,1/27/2022 15:46,Finished Custom Pending Approval,,7/19/2022,8/19/2022,Yes,,,Benchmark,,,,,,,Catalog ring style from Benchmark  6.5mm Wire brush finish,
BE304RD0200LAB-18KY,Runout - CAT - 18K Yellow Gold Certified Lab Created Diamond Stud Earrings (2 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #897538,4/12/2022 16:39,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD200LAB-18KY,,Bhakti Diamond LLC,5/23/2022,,,,,10,"Ordered and fully assembled with Dharm Set with: (1 pair) 6.5mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.0 ct. tw. each, total = 2.0 ct. tw. *ct. tw. should never exceed below 1.96 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: -Previously ordered and fully assembled ON MEMO with Go Green. 10.03.2018 DP: I've marked the Inventory Page as DNU because we have two different vendors supplying the diamonds. GoGreen is fully assembled, Shashvat requires assembly MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 6.5mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.0 ct. tw. each, total = 2.0 ct. tw. *ct. tw. should never exceed below 1.96 ct. tw. as the",
BE304RD0200LAB-PT,Runout - CAT - Platinum Certified Lab Created Diamond Stud Earrings (2 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #897538,4/12/2022 16:39,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD200LAB-PT,,Bhakti Diamond LLC,5/20/2022,,,,,8,"Ordered and fully assembled with Dharm Set with: (1 pair) 6.5mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.0 ct. tw. each, total = 2.0 ct. tw. *ct. tw. should never exceed below 1.96 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: -Previously ordered and fully assembled ON MEMO with Go Green. 10.03.2018 DP: I've marked the Inventory Page as DNU because we have two different vendors supplying the diamonds. GoGreen is fully assembled, Shashvat requires assembly MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 6.5mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.0 ct. tw. each, total = 2.0 ct. tw. *ct. tw. should never exceed below 1.96 ct. tw. as the",
BE304RD0300LAB-18KW,Runout - CAT - 18K White Gold Certified Lab Created Diamond Stud Earrings (3 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902305,4/19/2022 14:41,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD300LAB-18KW,,Bhakti Diamond LLC,5/23/2022,,,,,4,"Ordered and fully assembled with Dharm Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: 9.9.19 KGB - Ordered and fully assembled ON MEMO with Go Green.  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.*  History notes:  MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *",
BE304RD0300LAB-18KY,Runout - CAT - 18K Yellow Gold Certified Lab Created Diamond Stud Earrings (3 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902305,4/19/2022 14:41,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD300LAB-18KY,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: 9.9.19 KGB - Ordered and fully assembled ON MEMO with Go Green.  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.*  History notes:  MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *",
BE304RD0300LAB-PT,Runout - CAT - Platinum Certified Lab Created Diamond Stud Earrings (3 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902305,4/19/2022 14:41,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD300LAB-PT,,Bhakti Diamond LLC,5/23/2022,,,,,2,"Ordered and fully assembled with Dharm Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: 9.9.19 KGB - Ordered and fully assembled ON MEMO with Go Green.  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.*  History notes:  MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *",
BE304RD0400LAB-18KW,Runout - CAT - 18K White Gold Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-18KW,,Bhakti Diamond LLC,5/21/2022,,,,,4,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE304RD0400LAB-18KY,Runout - CAT - 18K Yellow Gold Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-18KY,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE304RD0400LAB-PT,Runout - CAT - Platinum Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-PT,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE31001-14KY,FJ- thin to thick tapered chunky hoops,Inventory Item,,No,Not on website,Purchase Order #906187,4/25/2022 8:56,Finished Item Approved,7/13/2022,,,No,,,Jasani,,9/2/2022,,,,2,"ordered and fully assembled with jasani  14KY VERMEIL**********  - 16mm long by 9mm at the widest point, tapered chunky hoops. -  smooth rounded shape, no flat edges or hard angles. -hollow inside to save weight. - domed front. -tapered side thickness, 4mm at the thickest point, 1.5mm at the ends.",
BE31001-S,FJ- thin to thick tapered chunky hoops,Inventory Item,,No,Not on website,Purchase Order #906187,4/25/2022 8:56,Finished Item Approved,7/13/2022,,,No,,,Jasani,,9/2/2022,,,,1,"ordered and fully assembled with jasani  - 16mm long by 9mm at the widest point, tapered chunky hoops. -  smooth rounded shape, no flat edges or hard angles. -hollow inside to save weight. - domed front. -tapered side thickness, 4mm at the thickest point, 1.5mm at the ends.",
BE31515-14KY,FJ- dual metal vera hoop earrings,Inventory Item,With Retoucher,No,Not on website,Purchase Order #846083,1/27/2022 12:37,Finished Item Approved,7/8/2022,7/15/2022,8/5/2022,Yes,,,Jasani,8/29/2022,7/11/2022,,,,1,PLEASE NOTE: 14KY with rhodium plated white links  ORDERED AND FULLY ASSEMBLED WITH JASANI  ALTERNATING 14KY AND 14KW   BASED ON BE2990,
BE3164-14KY,FJ-Chunky silver vermeil 25mm tapered hoop earring,Inventory Item,,No,Not on website,Purchase Order #897318,4/12/2022 12:23,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,,9/2/2022,,,,2,ORDERED AND FULLY ASSEMBLED WITH INCON IN 14KY VERMEIL ********  - hoop earring 25mm long  tapering from 4.5mm at the top down to 10mm wide at the bottom.  - rounded in form and shape.  - hollow out inside to save weight.  -hoop gap should be wide enough to allow 6mm of space from the inside edge of the hinge to the catch after the hinge is soldered into place.  -place stamps on the inside near the hinge.,
